model,event_number,session_percentage,sessions_processed,batch_inference_time_seconds,mean_latency_ms_per_session,mean_purchase_probability
LSTM,1,5,1000,7.70957179996185,7.70957179996185,0.2570345401763916
GRU,1,5,1000,1.1344192000105977,1.1344192000105977,0.2564058303833008
GRU + Attention,1,5,1000,2.737696300027892,2.737696300027892,0.22815072536468506
XGBoost,1,5,1000,0.16485409997403622,0.16485409997403622,0.20249103009700775
LightGBM,1,5,1000,0.16954560001613572,0.16954560001613572,0.21381928985906778
LSTM,2,10,1000,0.5297722999821417,0.5297722999821417,0.25194913148880005
GRU,2,10,1000,0.288151899992954,0.288151899992954,0.26567569375038147
GRU + Attention,2,10,1000,0.42479249997995794,0.42479249997995794,0.2519073784351349
XGBoost,2,10,1000,0.008898700005374849,0.008898700005374849,0.24892108142375946
LightGBM,2,10,1000,0.007760999957099557,0.007760999957099557,0.26473278284169344
LSTM,3,15,1000,0.26512759999604896,0.26512759999604896,0.28108343482017517
GRU,3,15,1000,0.3436951999901794,0.3436951999901794,0.2958316206932068
GRU + Attention,3,15,1000,0.3651026000152342,0.3651026000152342,0.2832072079181671
XGBoost,3,15,1000,0.007145800045691431,0.007145800045691431,0.2857091724872589
LightGBM,3,15,1000,0.014412100019399077,0.014412100019399077,0.3061501432443757
LSTM,4,20,1000,0.27321909996680915,0.27321909996680915,0.2934705913066864
GRU,4,20,1000,0.26313069998286664,0.26313069998286664,0.3101757764816284
GRU + Attention,4,20,1000,0.4433318999945186,0.4433318999945186,0.2993159294128418
XGBoost,4,20,1000,0.008999499958008528,0.008999499958008528,0.3055230379104614
LightGBM,4,20,1000,0.013318400015123188,0.013318400015123188,0.3246500180695174
LSTM,5,25,1000,0.27730960003100336,0.27730960003100336,0.300184041261673
GRU,5,25,1000,0.25025909999385476,0.25025909999385476,0.31896474957466125
GRU + Attention,5,25,1000,0.2851109999464825,0.2851109999464825,0.3069612383842468
XGBoost,5,25,1000,0.008526399964466691,0.008526399964466691,0.3223586976528168
LightGBM,5,25,1000,0.021691299974918365,0.021691299974918365,0.34533933526602617
LSTM,6,30,1000,0.3709536999813281,0.3709536999813281,0.30895861983299255
GRU,6,30,1000,0.2557645000051707,0.2557645000051707,0.3275218605995178
GRU + Attention,6,30,1000,0.28692909999517724,0.28692909999517724,0.3129788339138031
XGBoost,6,30,1000,0.007850699999835342,0.007850699999835342,0.327034056186676
LightGBM,6,30,1000,0.01528720004716888,0.01528720004716888,0.35060380345507763
LSTM,7,35,1000,0.2778140000300482,0.2778140000300482,0.3152730166912079
GRU,7,35,1000,0.28424220002489164,0.28424220002489164,0.3318161070346832
GRU + Attention,7,35,1000,0.4568022000021301,0.4568022000021301,0.3161814212799072
XGBoost,7,35,1000,0.007200499996542931,0.007200499996542931,0.33539050817489624
LightGBM,7,35,1000,0.017670199973508716,0.017670199973508716,0.35854058975617376
LSTM,8,40,1000,0.27470410004025325,0.27470410004025325,0.3173648715019226
GRU,8,40,1000,0.260319699998945,0.260319699998945,0.3338690400123596
GRU + Attention,8,40,1000,0.3349410999799147,0.3349410999799147,0.318356990814209
XGBoost,8,40,1000,0.008701200014911592,0.008701200014911592,0.3381114602088928
LightGBM,8,40,1000,0.019499799993354827,0.019499799993354827,0.3599407488639858
LSTM,9,45,1000,0.36303680000128224,0.36303680000128224,0.31640711426734924
GRU,9,45,1000,0.25398300000233576,0.25398300000233576,0.3333323001861572
GRU + Attention,9,45,1000,0.437794900033623,0.437794900033623,0.3195786476135254
XGBoost,9,45,1000,0.008210300002247095,0.008210300002247095,0.34053659439086914
LightGBM,9,45,1000,0.019365100015420467,0.019365100015420467,0.36184008056544786
LSTM,10,50,1000,0.27270840003620833,0.27270840003620833,0.3178178071975708
GRU,10,50,1000,0.3226173000293784,0.3226173000293784,0.3340795934200287
GRU + Attention,10,50,1000,0.4263902999809943,0.4263902999809943,0.32043346762657166
XGBoost,10,50,1000,0.007069699990097433,0.007069699990097433,0.34085676074028015
LightGBM,10,50,1000,0.01562510000076145,0.01562510000076145,0.36248034708118076
LSTM,11,55,1000,0.26509990001795813,0.26509990001795813,0.31942853331565857
GRU,11,55,1000,0.2459087999886833,0.24590879998868329,0.3350659906864166
GRU + Attention,11,55,1000,0.27886750001925975,0.27886750001925975,0.32113105058670044
XGBoost,11,55,1000,0.009345400030724704,0.009345400030724704,0.34187647700309753
LightGBM,11,55,1000,0.017263300018385053,0.017263300018385053,0.36295252215125445
LSTM,12,60,1000,0.26941089995671064,0.26941089995671064,0.3199104070663452
GRU,12,60,1000,0.3078180000302382,0.3078180000302382,0.3350093364715576
GRU + Attention,12,60,1000,0.44358649995410815,0.44358649995410815,0.32152995467185974
XGBoost,12,60,1000,0.0107729000155814,0.0107729000155814,0.3428405821323395
LightGBM,12,60,1000,0.016788500011898577,0.016788500011898577,0.3637933363268837
LSTM,13,65,1000,0.3495444000000134,0.3495444000000134,0.3197542726993561
GRU,13,65,1000,0.2402252999600023,0.2402252999600023,0.33422404527664185
GRU + Attention,13,65,1000,0.26532700000097975,0.26532700000097975,0.32156503200531006
XGBoost,13,65,1000,0.00900079996790737,0.00900079996790737,0.34263116121292114
LightGBM,13,65,1000,0.015230300021357834,0.015230300021357834,0.3638952667744074
LSTM,14,70,1000,0.2756933000055142,0.2756933000055142,0.31935712695121765
GRU,14,70,1000,0.26349690003553405,0.26349690003553405,0.33425071835517883
GRU + Attention,14,70,1000,0.4082503999816254,0.4082503999816254,0.32158157229423523
XGBoost,14,70,1000,0.007206699985545129,0.007206699985545129,0.34268176555633545
LightGBM,14,70,1000,0.013343700033146888,0.013343700033146888,0.3637641648056008
LSTM,15,75,1000,0.28579970001010224,0.28579970001010224,0.31994205713272095
GRU,15,75,1000,0.27325190004194155,0.27325190004194155,0.3345639705657959
GRU + Attention,15,75,1000,0.4552078999695368,0.4552078999695368,0.3216400146484375
XGBoost,15,75,1000,0.007609100022818893,0.007609100022818893,0.34328851103782654
LightGBM,15,75,1000,0.01675410004099831,0.01675410004099831,0.36448523477253275
LSTM,16,80,1000,0.3514773999922909,0.3514773999922909,0.31867149472236633
GRU,16,80,1000,0.24479309999151155,0.24479309999151153,0.33331483602523804
GRU + Attention,16,80,1000,0.2754111000103876,0.2754111000103876,0.32152825593948364
XGBoost,16,80,1000,0.007702599978074431,0.007702599978074431,0.34312671422958374
LightGBM,16,80,1000,0.015198900015093386,0.015198900015093386,0.3645903245385788
LSTM,17,85,1000,0.26608109998051077,0.26608109998051077,0.3190755248069763
GRU,17,85,1000,0.26498500001616776,0.26498500001616776,0.333832710981369
GRU + Attention,17,85,1000,0.3719755999627523,0.3719755999627523,0.32156655192375183
XGBoost,17,85,1000,0.007514400000218302,0.007514400000218302,0.34312281012535095
LightGBM,17,85,1000,0.015778700006194413,0.015778700006194413,0.3644944970365208
LSTM,18,90,1000,0.25967619998846203,0.25967619998846203,0.31881991028785706
GRU,18,90,1000,0.2768355999724008,0.2768355999724008,0.3334996998310089
GRU + Attention,18,90,1000,0.2971308000269346,0.2971308000269346,0.3215469419956207
XGBoost,18,90,1000,0.008145399973727763,0.008145399973727763,0.3438067138195038
LightGBM,18,90,1000,0.01531850005267188,0.01531850005267188,0.36530710799715677
LSTM,19,95,1000,0.3544022000278346,0.3544022000278346,0.31879115104675293
GRU,19,95,1000,0.2542722999933176,0.2542722999933176,0.3334829807281494
GRU + Attention,19,95,1000,0.27138739998918027,0.27138739998918027,0.32154321670532227
XGBoost,19,95,1000,0.006649899994954467,0.006649899994954467,0.3437274694442749
LightGBM,19,95,1000,0.015784199989866465,0.015784199989866465,0.36540273724664385
LSTM,20,100,1000,0.2844893999863416,0.2844893999863416,0.31843382120132446
GRU,20,100,1000,0.25672810000833124,0.25672810000833124,0.3332087993621826
GRU + Attention,20,100,1000,0.508819000038784,0.508819000038784,0.3215264081954956
XGBoost,20,100,1000,0.007894699985627085,0.007894699985627085,0.3436414897441864
LightGBM,20,100,1000,0.011093900015112013,0.011093900015112013,0.3655142214760609
