model,event_stage,sessions,input_preparation_ms_per_session,feature_construction_ms_per_session,model_only_ms_per_session,end_to_end_ms_per_session
LSTM,1,1000,0.00010740000288933516,0.0,0.3777616000152193,0.37786900001810864
GRU,1,1000,0.00010740000288933516,0.0,0.1869588999543339,0.18706629995722324
GRU + Attention,1,1000,0.00010740000288933516,0.0,0.30208669998683035,0.3021940999897197
XGBoost,1,1000,0.00010740000288933516,0.1283652000129223,0.008457600022666156,0.13693020003847778
LightGBM,1,1000,0.00010740000288933516,0.1283652000129223,0.008612200035713613,0.13708480005152524
LSTM,2,1000,0.00010549998842179775,0.0,0.020738599996548146,0.020844099984969944
GRU,2,1000,0.00010549998842179775,0.0,0.017221200047060847,0.017326700035482645
GRU + Attention,2,1000,0.00010549998842179775,0.0,0.022915500041563064,0.02302100002998486
XGBoost,2,1000,0.00010549998842179775,0.0898468000232242,0.004784399992786348,0.09473670000443235
LightGBM,2,1000,0.00010549998842179775,0.0898468000232242,0.009849999973084778,0.09980229998473078
LSTM,3,1000,0.0001447000540792942,0.0,0.02590710000367835,0.026051800057757646
GRU,3,1000,0.0001447000540792942,0.0,0.01793179998639971,0.018076500040479004
GRU + Attention,3,1000,0.0001447000540792942,0.0,0.02272760000778362,0.022872300061862916
XGBoost,3,1000,0.0001447000540792942,0.12154940003529191,0.004933600022923201,0.1266277001122944
LightGBM,3,1000,0.0001447000540792942,0.12154940003529191,0.009506199974566698,0.1312003000639379
LSTM,4,1000,0.0001145999995060265,0.0,0.024194300000090152,0.02430889999959618
GRU,4,1000,0.0001145999995060265,0.0,0.017598999955225736,0.017713599954731762
GRU + Attention,4,1000,0.0001145999995060265,0.0,0.022637100017163903,0.02275170001666993
XGBoost,4,1000,0.0001145999995060265,0.08105080004315823,0.00476929999422282,0.08593470003688708
LightGBM,4,1000,0.0001145999995060265,0.08105080004315823,0.011109500017482787,0.09227490006014705
LSTM,5,1000,0.0001126999850384891,0.0,0.02481520001310855,0.02492789999814704
GRU,5,1000,0.0001126999850384891,0.0,0.018053699983283877,0.018166399968322366
GRU + Attention,5,1000,0.0001126999850384891,0.0,0.022504499997012317,0.022617199982050806
XGBoost,5,1000,0.0001126999850384891,0.08653690002392977,0.004798300040420145,0.09144790004938841
LightGBM,5,1000,0.0001126999850384891,0.08653690002392977,0.007706000003963709,0.09435560001293197
LSTM,6,1000,0.00010579999070614576,0.0,0.02362140000332147,0.023727199994027615
GRU,6,1000,0.00010579999070614576,0.0,0.01582209998741746,0.015927899978123605
GRU + Attention,6,1000,0.00010579999070614576,0.0,0.024064900004304945,0.02417069999501109
XGBoost,6,1000,0.00010579999070614576,0.13113689998863265,0.004969800007529557,0.13621249998686835
LightGBM,6,1000,0.00010579999070614576,0.13113689998863265,0.007850099995266646,0.13909279997460544
LSTM,7,1000,0.00012290000449866056,0.0,0.023312800040002912,0.023435700044501573
GRU,7,1000,0.00012290000449866056,0.0,0.01913209998747334,0.019254999991972
GRU + Attention,7,1000,0.00012290000449866056,0.0,0.023740599979646504,0.023863499984145164
XGBoost,7,1000,0.00012290000449866056,0.0853281999588944,0.004699299985077232,0.0901503999484703
LightGBM,7,1000,0.00012290000449866056,0.0853281999588944,0.007931800035294145,0.09338289999868721
LSTM,8,1000,0.00010830000974237919,0.0,0.02312510000774637,0.023233400017488748
GRU,8,1000,0.00010830000974237919,0.0,0.018369600002188236,0.018477900011930615
GRU + Attention,8,1000,0.00010830000974237919,0.0,0.02282269997522235,0.02293099998496473
XGBoost,8,1000,0.00010830000974237919,0.11798359995009378,0.005473800003528595,0.12356569996336475
LightGBM,8,1000,0.00010830000974237919,0.11798359995009378,0.00857860001269728,0.12667049997253343
LSTM,9,1000,0.00010050000855699182,0.0,0.02520199998980388,0.025302499998360872
GRU,9,1000,0.00010050000855699182,0.0,0.01712279999628663,0.017223300004843622
GRU + Attention,9,1000,0.00010050000855699182,0.0,0.022557899996172637,0.02265840000472963
XGBoost,9,1000,0.00010050000855699182,0.17667519999668002,0.008001500042155385,0.1847772000473924
LightGBM,9,1000,0.00010050000855699182,0.17667519999668002,0.010911300021689385,0.1876870000269264
LSTM,10,1000,8.910003816708922e-05,0.0,0.025537699984852225,0.025626800023019314
GRU,10,1000,8.910003816708922e-05,0.0,0.01742200000444427,0.01751110004261136
GRU + Attention,10,1000,8.910003816708922e-05,0.0,0.022753700031898916,0.022842800070066005
XGBoost,10,1000,8.910003816708922e-05,0.10816820000763983,0.004328800016082823,0.11258610006188974
LightGBM,10,1000,8.910003816708922e-05,0.10816820000763983,0.008727299980819225,0.11698460002662614
LSTM,11,1000,0.00010339997243136168,0.0,0.024771299969870597,0.02487469994230196
GRU,11,1000,0.00010339997243136168,0.0,0.0168046000180766,0.01690799999050796
GRU + Attention,11,1000,0.00010339997243136168,0.0,0.022445900016464293,0.022549299988895655
XGBoost,11,1000,0.00010339997243136168,0.08786959998542443,0.0047984999837353826,0.09277149994159117
LightGBM,11,1000,0.00010339997243136168,0.08786959998542443,0.00817699998151511,0.0961499999393709
LSTM,12,1000,0.00011600001016631722,0.0,0.02773289999458939,0.027848900004755706
GRU,12,1000,0.00011600001016631722,0.0,0.018839099968317896,0.018955099978484213
GRU + Attention,12,1000,0.00011600001016631722,0.0,0.021881300024688244,0.02199730003485456
XGBoost,12,1000,0.00011600001016631722,0.10897190001560375,0.0050195999792777,0.11410750000504777
LightGBM,12,1000,0.00011600001016631722,0.10897190001560375,0.008813299995381385,0.11790120002115145
LSTM,13,1000,8.110003545880318e-05,0.0,0.027827099955175072,0.027908199990633875
GRU,13,1000,8.110003545880318e-05,0.0,0.016342699993401766,0.01642380002886057
GRU + Attention,13,1000,8.110003545880318e-05,0.0,0.021987299958709627,0.02206839999416843
XGBoost,13,1000,8.110003545880318e-05,0.08812119998037815,0.004822099988814443,0.0930244000046514
LightGBM,13,1000,8.110003545880318e-05,0.08812119998037815,0.0088732999865897,0.09707560000242665
LSTM,14,1000,8.38999985717237e-05,0.0,0.030316099990159273,0.030399999988730997
GRU,14,1000,8.38999985717237e-05,0.0,0.018768200010526925,0.01885210000909865
GRU + Attention,14,1000,8.38999985717237e-05,0.0,0.021656299999449402,0.021740199998021126
XGBoost,14,1000,8.38999985717237e-05,0.08412460004910827,0.00487589999102056,0.08908440003870055
LightGBM,14,1000,8.38999985717237e-05,0.08412460004910827,0.007767500006593764,0.09197600005427375
LSTM,15,1000,8.79999715834856e-05,0.0,0.02463450003415346,0.024722500005736947
GRU,15,1000,8.79999715834856e-05,0.0,0.01941329997498542,0.019501299946568906
GRU + Attention,15,1000,8.79999715834856e-05,0.0,0.021621499967295676,0.021709499938879162
XGBoost,15,1000,8.79999715834856e-05,0.10249620000831783,0.00549390004016459,0.1080781000200659
LightGBM,15,1000,8.79999715834856e-05,0.10249620000831783,0.009638099989388138,0.11222229996928945
LSTM,16,1000,0.00013130001025274396,0.0,0.0317092000041157,0.031840500014368445
GRU,16,1000,0.00013130001025274396,0.0,0.016689600015524775,0.01682090002577752
GRU + Attention,16,1000,0.00013130001025274396,0.0,0.02121960005024448,0.021350900060497224
XGBoost,16,1000,0.00013130001025274396,0.08786400000099093,0.00449649995425716,0.09249179996550083
LightGBM,16,1000,0.00013130001025274396,0.08786400000099093,0.010148200031835586,0.09814350004307926
